Title,Author,Date,Blog Type,Comments,Likes,Employee Type,Tags,Link
SAP HANA Workload Management ,Joerg Latza,"February 17, 2021",Technical Articles,0,0,SAP Employee,"SAP HANA,Database and Data Management,SAP HANA Cloud,SAP HANA, platform edition",https://blogs.sap.com/2021/02/17/sap-hana-workload-management/
Site Configuration: SAP Web Analytics ,Rashmi Angadi,"February 17, 2021",Technical Articles,0,1,SAP Employee,"SAP Web Analytics (pilot),SAP Cloud Platform",https://blogs.sap.com/2021/02/17/site-configuration-sap-web-analytics/
SAP Analytics Cloud: Expand Live Data Connectivity to Heterogenous Data Sources via SAP HANA ,Kevin Li,"February 17, 2021",Technical Articles,0,0,SAP Employee,"SAP Analytics Cloud,SAP HANA",https://blogs.sap.com/2021/02/17/sap-analytics-cloud-expand-live-data-connectivity-to-heterogenous-data-sources-via-sap-hana/
RISE with SAP: Using SAP Activate as part of your SAP Implementation ,Daniel Ciecko,"February 17, 2021",Technical Articles,0,0,SAP Employee,"SAP S/4HANA Cloud,Implementation Methodologies",https://blogs.sap.com/2021/02/17/rise-with-sap-using-sap-activate-as-part-of-your-sap-implementation/
Custom Email Template for Email Integration for Purchase Requisition Approval in SAP S/4HANA ,MOHAN KALIYAMOORTHY,"February 17, 2021",Technical Articles,1,0,N/A,"SAP S/4HANA,SAP S/4HANA for central procurement",https://blogs.sap.com/2021/02/17/custom-email-template-for-email-integration-for-purchase-requisition-approval-in-sap-s-4hana/
New adapters added to SAP Cloud Integration ,J. Bilay,"February 17, 2021",Product Information,0,1,N/A,SAP Integration Suite,https://blogs.sap.com/2021/02/17/new-adapters-added-to-sap-cloud-integration/
Online enablement courses to learn integration of SAP Customer Experience Solutions ,Nidhi Agarwal,"February 17, 2021",Event Information,0,0,SAP Employee,"Customer Experience,SAP Commerce Cloud,SAP Field Service Management,SAP Integration Suite,SAP Marketing Cloud",https://blogs.sap.com/2021/02/17/online-enablement-courses-to-learn-integration-of-sap-customer-experience-solutions/
Process Discovery for SAP S/4HANA Transformation のレポート照会方法について ,Masafumi Fukuda,"February 17, 2021",Technical Articles,0,0,SAP Employee,SAP Business Process Management,https://blogs.sap.com/2021/02/17/process-discovery-for-sap-s-4hana-transformation-%e3%81%ae%e3%83%ac%e3%83%9d%e3%83%bc%e3%83%88%e7%85%a7%e4%bc%9a%e6%96%b9%e6%b3%95%e3%81%ab%e3%81%a4%e3%81%84%e3%81%a6/
SAP Ariba Analytical Reporting API: Part 1 – Overview of Analytical reporting structure ,Yos Wisnu,"February 17, 2021",Technical Articles,0,0,SAP Employee,"API,SAP Ariba Extensibility",https://blogs.sap.com/2021/02/17/sap-ariba-analytical-reporting-api-part-1-overview-of-analytical-reporting-structure/
What’s New in SAP Data Intelligence – Central Blog Post ,Eduardo Schmidt Haussen,"February 17, 2021",Product Information,0,2,SAP Employee,SAP Data Intelligence,https://blogs.sap.com/2021/02/17/whats-new-in-sap-data-intelligence-central-blog-post/
Writer function – ‘BW write type’: Planning Part 2 ,Dinesh Deivasigamani,"February 17, 2021",Technical Articles,0,0,SAP Employee,SAP Profitability and Performance Management,https://blogs.sap.com/2021/02/17/writer-function-bw-write-type-planning-part-2/
Use SAP BusinessObjects REST API with SAP Intelligent RPA – Automations ,Thomas Jentsch,"February 17, 2021",Technical Articles,0,5,SAP Employee,"SAP BusinessObjects Business Intelligence platform,SAP BusinessObjects - BI Platform - SDK,SAP Intelligent Robotic Process Automation",https://blogs.sap.com/2021/02/17/use-sap-businessobjects-rest-api-with-sap-intelligent-rpa-automations/
How to launch SAP S/4HANA 2020 or SAP S/4HANA 1909 Solution in SAP Cloud Appliance Library ,Sreeram Kaki,"February 17, 2021",Technical Articles,0,0,SAP Employee,"SAP S/4HANA Cloud,SAP Cloud Platform",https://blogs.sap.com/2021/02/17/how-to-launch-sap-s-4hana-2020-or-sap-s-4hana-1909-solution-in-sap-cloud-appliance-library/
SAP Intelligent Robotic Process Automation 2.0​ What’s new 2102 ​-Upcoming Release ,Rosa ORIHUELA,"February 17, 2021",Product Information,1,7,SAP Employee,SAP Intelligent Robotic Process Automation,https://blogs.sap.com/2021/02/17/sap-intelligent-robotic-process-automation-2.0%e2%80%8b-whats-new-2102-%e2%80%8b-upcoming-release/
Use SAP Analytics Cloud REST API with SAP Intelligent RPA – Automations ,Thomas Jentsch,"February 17, 2021",Technical Articles,0,3,SAP Employee,"SAP Analytics Cloud,SAP Intelligent Robotic Process Automation",https://blogs.sap.com/2021/02/17/use-sap-analytics-cloud-rest-api-with-sap-intelligent-rpa-automations/
Mandatory Migration of COPY and DISAGG operator with IBP 2108 release ,Irmhild Kuntze,"February 17, 2021",Technical Articles,0,0,SAP Employee,SAP Integrated Business Planning for Supply Chain,https://blogs.sap.com/2021/02/17/mandatory-migration-of-copy-and-disagg-operator-with-ibp-2108-release/
Dynamic Destination Creation in a Subscriber’s Account for a SaaS Application ,Gopal Anand,"February 17, 2021",Technical Articles,0,2,SAP Employee,"SAP BTP, Cloud Foundry environment,Cloud,JavaScript,Node.js,SAP Cloud Platform",https://blogs.sap.com/2021/02/17/dynamic-destination-creation-in-a-subscribers-account-for-a-saas-application/
"SAP ABAP Platform 1909, Developer Edition – installation on WINDOWS OS ",Martin Maruskin,"February 16, 2021",Technical Articles,1,5,N/A,"ABAP Development,ABAP Connectivity,ABAP Extensibility,SAP NetWeaver Application Server for ABAP",https://blogs.sap.com/2021/02/16/sap-abap-platform-1909-developer-edition-installation-on-windows-os/
Connecting Google Cloud Storage with SAP DataIntelligence  & Python ,Asim Munshi,"February 16, 2021",Technical Articles,1,3,SAP Employee,SAP Data Intelligence,https://blogs.sap.com/2021/02/16/connecting-google-cloud-storage-with-sap-dataintelligence-python-step-by-step/
Create Blocks for Interaction: a use case for triggered-based Campaigns ,Luis Guilherme Paulino,"February 16, 2021",Product Information,6,7,N/A,SAP Marketing Cloud,https://blogs.sap.com/2021/02/16/create-blocks-for-interaction-a-use-case-for-triggered-based-campaigns/
"SAP ABAP Platform 1909, Developer Edition: Day 1 Experience and Tips and Tricks ",Thomas Jung,"February 16, 2021",Technical Articles,4,32,SAP Employee,"ABAP Development,ABAP Connectivity,ABAP Extensibility,ABAP RESTful Programming Model,SAP NetWeaver Application Server for ABAP for SAP S/4HANA",https://blogs.sap.com/2021/02/16/sap-abap-platform-1909-developer-edition-day-1-experience-and-tips-and-tricks/
Change is the only constant… ,Bob Byrne,"February 16, 2021",Business Trends,0,2,SAP Employee,"SAP S/4HANA Cloud,Implementation Methodologies,SAP S/4HANA",https://blogs.sap.com/2021/02/16/change-is-the-only-constant.../
ABAP 7.5 : Are Subroutines Obsolete? ,Jagdish Patil,"February 16, 2021",Technical Articles,22,7,N/A,ABAP Development,https://blogs.sap.com/2021/02/16/abap-7.5-are-subroutines-obsolete/
Generate Adobe form through Spool ID. ,Rohith Ramagiri,"February 16, 2021",Technical Articles,0,0,N/A,ABAP Development,https://blogs.sap.com/2021/02/16/generate-adobe-form-through-spool-id./
